TOA5	ESOLMET-CR1000	23644	CR1000.Std.16	CPU:2021-05-21-ESOLMET-CR1000.CR1	25840	Tabla_diez_min													
TIMESTAMP	RECORD	I_glo_Avg	I_dir_Avg	I_dif_Avg	AirTC_Avg	AirTC_Max	AirTC_Min	AirTC_Std	RH_Avg	RH_Max	RH_Min	RH_Std	WS_ms_Avg	WS_ms_Max	WS_ms_Min	WS_ms_Std	WindDir	CS106_PB_Avg	Rain_mm_Tot
TS	RN	W/m2	W/m2	W/m2	°C	°C	°C	°C	%	%	%	%	m/s	m/s	m/s	m/s	grados	mbar	mm
		Avg	Avg	Avg	Avg	Max	Min	Std	Avg	Max	Min	Std	Avg	Max	Min	Std	Smp	Avg	Tot
12/03/2022 00:00	42413	0	0.016	0	22.27	22.43	22.09	0.086	28.46	28.86	27.91	0.189	1.895	3.2	0.95	0.456	351.4	875.3632	0
12/03/2022 00:10	42414	0	0.022	0	22.13	22.4	21.85	0.11	28.65	29.14	28.11	0.223	1.941	3.2	0.95	0.376	342.8	875.3472	0
12/03/2022 00:20	42415	0	0.014	0	21.74	22.02	21.44	0.131	29.06	29.75	28.62	0.27	2.214	3.2	1.7	0.408	346.5	875.2731	0
12/03/2022 00:30	42416	0	0.169	0	21.99	22.29	21.65	0.158	28.3	29.34	27.6	0.435	2.336	3.95	0.95	0.579	24.22	875.3141	0
12/03/2022 00:40	42417	0	0.084	0	22.15	22.36	21.92	0.084	28.04	28.62	27.64	0.193	2.083	3.95	0	0.621	354.4	875.2978	0
12/03/2022 00:50	42418	0	0.005	0	21.68	22.02	21.27	0.212	28.79	29.41	28.25	0.278	2.365	3.95	0.95	0.467	348.1	875.0851	0
12/03/2022 01:00	42419	0	0.067	0	21.62	22.02	21.24	0.196	28.32	29.58	27.23	0.615	1.853	3.2	0	0.61	32.25	875.1997	0
12/03/2022 01:10	42420	0	0.197	0	22	22.23	21.85	0.061	27.19	27.5	26.82	0.16	1.826	3.2	0	0.626	15.41	874.9705	0
12/03/2022 01:20	42421	0	0.132	0	21.82	22.05	21.48	0.154	27.28	27.94	26.61	0.248	2.338	3.2	0.95	0.536	1.113	875.0025	0
12/03/2022 01:30	42422	0	0.004	0	21.49	21.75	21.31	0.108	27.3	27.88	26.72	0.266	1.85	3.2	0	0.591	354.5	875.0532	0
12/03/2022 01:40	42423	0	0.001	0	21.38	21.51	21.24	0.047	27.09	27.74	26.38	0.318	0.859	2.45	0	0.693	354.5	875.1504	0
12/03/2022 01:50	42424	0	0.078	0	21.45	21.61	21.27	0.066	26.31	26.89	26.04	0.177	1.414	3.2	0	0.48	350.1	875.1667	0
12/03/2022 02:00	42425	0	0.034	0	21.32	21.44	21.2	0.048	26.62	26.85	26.41	0.082	1.181	2.45	0	0.457	331.5	874.9789	0
12/03/2022 02:10	42426	0	0.056	0	21.11	21.34	20.96	0.074	27.1	27.4	26.72	0.122	1.344	2.45	0	0.666	354.5	874.7498	0
12/03/2022 02:20	42427	0	0.211	0	21.18	21.34	21.03	0.052	27.15	27.74	26.61	0.318	1.894	2.45	0.95	0.436	339.2	874.8805	0
